dsp_cookies_export.user_id,dsp_cookies_export.zeta_user_id,dsp_cookies_export.dt
466393253621502,"[""4bbbcada-3976-44c8-8962-e5a99d2eda97:1591197933.63""]",20210625
516673890397218,"[""9ad67b74-2e30-423d-8532-9e6a56ff6176:1610871583.5""]",20210625
552427950674755,"[""b8f83981-fb82-429a-bf53-74c17001d341:1599091753.81""]",20210625
774896344398073,"[""debdb21b-5bb9-4f6e-baa9-d3980e6a5d25:1624074898.78""]",20210625
779157195634477,"[""1a22deaa-61a0-43cb-8835-d2a8ae64d7df:1601225816.19""]",20210625
796415405186391,"[""9a2e5f0b-d9a2-455a-bebc-a8ff899230bf:1605632785.25""]",20210625
1388921462762014,"[""03b51e51-2b28-4e5e-89a2-d7b4dfd64e06:1614714430.74""]",20210625
1682420064487961,"[""24797944-07c7-49cf-aaff-2d9a7b432774:1615328250.63""]",20210625
2128695054739660,"[""8ade3039-ca9a-4143-9e31-cf351097a9f1:1621639961.32""]",20210625
2228972520152678,"[""0a1e216f-a7d7-4ab6-983b-0928888aba95:1600149548.79""]",20210625
2423534987667167,"[""76983725-9785-4926-bc51-27c00a7bc734:1548637827.3""]",20210625
2514379317062417,"[""95e55cb3-c216-455f-9442-e7ca0aa9e312:1619396007.46""]",20210625
2529489911064299,"[""80b053c1-382d-4141-9535-5896382075bd:1616393141.58""]",20210625
2797124202660628,"[""a52d8271-aa01-4b6e-a32d-bb1467c8892a:1583965414.03""]",20210625
3023832626320388,"[""65697e7b-13c2-47f0-9569-11c545b2012f:1622123018.9""]",20210625
3238723571871408,"[""b8a0733e-0ab5-49c1-ab6e-ea5850357e22:1606353467.38""]",20210625
3245712231399282,"[""7c481c39-5366-4d5c-be73-66f1c2988b7d:1624210253.2""]",20210625
3330702695734095,"[""7fc73529-b7c5-4731-a631-017a2078236b:1589022120.52""]",20210625
3534874489166634,"[""883f84aa-5a71-4e79-8c9b-944223734a5e:1624488243.12""]",20210625
3578858857805642,"[""d8156cf5-c10b-4910-92e6-0a76c844df77:1596338848.52""]",20210625
3588154409165711,"[""a7893aeb-9c56-4bf0-b563-241e30f65523:1577488035.05""]",20210625
3617799729513912,"[""31888f17-3e14-42aa-8502-2fb6ac2817fd:1610156053.82""]",20210625
3621621790368779,"[""fb883c09-ad46-40fa-a8bf-4425a75bc3a1:1616156463.17""]",20210625
3831764509093803,"[""5fc1561b-e8b8-4659-8f0b-20e2b14e11b3:1564467127.98""]",20210625
3849075070323697,"[""8bd5fcc0-9c10-412b-a820-e59072a5d0f5:1623209463.42""]",20210625
3862764363050083,"[""7c3e2fa9-65d3-48ed-a153-4b89ce580519:1590146640.38""]",20210625
3884243352371074,"[""75665b60-ef67-4387-bddd-de8d8025f79f:1621024248.72""]",20210625
3917819478481739,"[""8cfcd38f-ed5a-403d-a278-757102c10402:1525902388.4""]",20210625
4208365493007302,"[""042c3336-a31c-4a9e-8fbc-4e7b44847e7a:1592107057.37""]",20210625
4217463310085978,"[""2d080bb8-b536-42ef-ad70-cc3b3437ac95:1592971823.69""]",20210625
4478689802438817,"[""7d1407f0-03a9-48be-9a41-c18537cb7c01:1622688357.36""]",20210625
4693079017339698,"[""53c9c795-c3db-42ca-9281-724ef4b57945:1555099127.12""]",20210625
4702656720450415,"[""3624ad54-5cd5-482e-b1c9-51c25b536925:1587520190.23""]",20210625
4725506397064207,"[""861a3ced-ef22-455b-90fb-99d3a90ebfd1:1623465463.66""]",20210625
5250687251637439,"[""ff07c0af-b167-4f55-94c5-084d2dd44217:1620303547.17""]",20210625
5562034849205407,"[""51277f1d-da81-45b4-a40f-98d458decbf2:1519135393.21""]",20210625
5562242549590479,"[""5f2e8294-f5cc-4807-bd47-0452a5b2d0ad:1556273091.37""]",20210625
5783084864545239,"[""2ccc2645-0874-4ba1-b8ee-4163f7700794:1597672366.79""]",20210625
5831018026284829,"[""d44a2bcb-e774-4ee5-9cb0-f02498972856:1619422237.01""]",20210625
5886294257950173,"[""cc0289d3-88d2-474d-8cbf-a114989a7ce9:1569781474.98""]",20210625
5895873397730692,"[""b4cd8e87-e1b8-428e-abf4-e1ca466c9aca:1612394255.56""]",20210625
6098654416580564,"[""ccde6c87-f6eb-4c47-86af-06a755cc35dc:1623680726.93""]",20210625
6153350214762647,"[""a17b8432-bafc-49c3-872d-31926b6d56db:1598191355.12""]",20210625
6157024674080199,"[""21fdaac6-8a7a-4c0c-8cd3-5fd7f83325f9:1607201319.29""]",20210625
6159606528231400,"[""79108590-2400-4f1d-b38f-2573affed26b:1624047823.01""]",20210625
6164174471477779,"[""517fb800-c85b-4fd2-a913-ff7266b75df1:1596651157.24""]",20210625
